center,surround,type,surr_type,orient_opacity,noise_opacity,isi
-2,-15.0,c-2,negs,100,0,0.75
-2,-15.0,c-2,negs,100,0,0.75
-2,-15.0,c-2,negs,100,0,0.75
-2,-15.0,c-2,negs,100,0,0.75
-2,-15.0,c-2,negs,100,0,0.75
-2,-15.0,c-2,negs,100,0,0.75
-2,-15.0,c-2,negs,100,0,0.75
-2,-15.0,c-2,negs,100,0,0.75
-2,-15.0,c-2,negs,100,0,1.0
-2,-15.0,c-2,negs,100,0,1.0
-2,-15.0,c-2,negs,100,0,1.0
-2,-15.0,c-2,negs,100,0,1.0
-2,-15.0,c-2,negs,100,0,1.0
-2,-15.0,c-2,negs,100,0,1.0
-2,-15.0,c-2,negs,100,0,1.0
-2,-15.0,c-2,negs,100,0,1.0
-2,-15.0,c-2,negs,100,0,1.0
-2,-15.0,c-2,negs,100,0,1.25
-2,-15.0,c-2,negs,100,0,1.25
-2,-15.0,c-2,negs,100,0,1.25
-2,-15.0,c-2,negs,100,0,1.25
-2,-15.0,c-2,negs,100,0,1.25
-2,-15.0,c-2,negs,100,0,1.25
-2,-15.0,c-2,negs,100,0,1.25
-2,-15.0,c-2,negs,100,0,1.25
-2,-15.0,c-2,negs,100,0,1.25
0,-15.0,c+0,negs,100,0,0.5
0,-15.0,c+0,negs,100,0,0.5
0,-15.0,c+0,negs,100,0,0.5
0,-15.0,c+0,negs,100,0,0.5
0,-15.0,c+0,negs,100,0,0.5
0,-15.0,c+0,negs,100,0,0.5
0,-15.0,c+0,negs,100,0,0.5
0,-15.0,c+0,negs,100,0,0.5
0,-15.0,c+0,negs,100,0,0.5
0,-15.0,c+0,negs,100,0,0.5
0,-15.0,c+0,negs,100,0,0.75
0,-15.0,c+0,negs,100,0,0.75
0,-15.0,c+0,negs,100,0,0.75
0,-15.0,c+0,negs,100,0,0.75
0,-15.0,c+0,negs,100,0,0.75
0,-15.0,c+0,negs,100,0,0.75
0,-15.0,c+0,negs,100,0,0.75
0,-15.0,c+0,negs,100,0,0.75
0,-15.0,c+0,negs,100,0,0.75
0,-15.0,c+0,negs,100,0,0.75
0,-15.0,c+0,negs,100,0,1.0
0,-15.0,c+0,negs,100,0,1.0
0,-15.0,c+0,negs,100,0,1.0
0,-15.0,c+0,negs,100,0,1.0
0,-15.0,c+0,negs,100,0,1.0
0,-15.0,c+0,negs,100,0,1.0
0,-15.0,c+0,negs,100,0,1.0
0,-15.0,c+0,negs,100,0,1.0
0,-15.0,c+0,negs,100,0,1.0
0,-15.0,c+0,negs,100,0,1.25
0,-15.0,c+0,negs,100,0,1.25
0,-15.0,c+0,negs,100,0,1.25
0,-15.0,c+0,negs,100,0,1.25
0,-15.0,c+0,negs,100,0,1.25
0,-15.0,c+0,negs,100,0,1.25
0,-15.0,c+0,negs,100,0,1.25
0,-15.0,c+0,negs,100,0,1.25
0,-15.0,c+0,negs,100,0,1.25
2,-15.0,c+2,negs,100,0,0.5
2,-15.0,c+2,negs,100,0,0.5
2,-15.0,c+2,negs,100,0,0.5
2,-15.0,c+2,negs,100,0,0.5
2,-15.0,c+2,negs,100,0,0.5
2,-15.0,c+2,negs,100,0,0.5
2,-15.0,c+2,negs,100,0,0.5
2,-15.0,c+2,negs,100,0,0.5
2,-15.0,c+2,negs,100,0,0.5
2,-15.0,c+2,negs,100,0,0.5
2,-15.0,c+2,negs,100,0,0.75
2,-15.0,c+2,negs,100,0,0.75
2,-15.0,c+2,negs,100,0,0.75
2,-15.0,c+2,negs,100,0,0.75
2,-15.0,c+2,negs,100,0,0.75
2,-15.0,c+2,negs,100,0,0.75
2,-15.0,c+2,negs,100,0,0.75
2,-15.0,c+2,negs,100,0,0.75
2,-15.0,c+2,negs,100,0,0.75
2,-15.0,c+2,negs,100,0,0.75
2,-15.0,c+2,negs,100,0,1.0
2,-15.0,c+2,negs,100,0,1.0
2,-15.0,c+2,negs,100,0,1.0
2,-15.0,c+2,negs,100,0,1.0
2,-15.0,c+2,negs,100,0,1.0
2,-15.0,c+2,negs,100,0,1.0
2,-15.0,c+2,negs,100,0,1.0
2,-15.0,c+2,negs,100,0,1.0
2,-15.0,c+2,negs,100,0,1.0
2,-15.0,c+2,negs,100,0,1.25
2,-15.0,c+2,negs,100,0,1.25
2,-15.0,c+2,negs,100,0,1.25
2,-15.0,c+2,negs,100,0,1.25
2,-15.0,c+2,negs,100,0,1.25
2,-15.0,c+2,negs,100,0,1.25
2,-15.0,c+2,negs,100,0,1.25
2,-15.0,c+2,negs,100,0,1.25
2,-15.0,c+2,negs,100,0,1.25
-4,0.0,c-4,noss,0,100,0.5
-4,0.0,c-4,noss,0,100,0.5
-4,0.0,c-4,noss,0,100,0.5
-4,0.0,c-4,noss,0,100,0.5
-4,0.0,c-4,noss,0,100,0.5
-4,0.0,c-4,noss,0,100,0.5
-4,0.0,c-4,noss,0,100,0.5
-4,0.0,c-4,noss,0,100,0.5
-4,0.0,c-4,noss,0,100,0.5
-4,0.0,c-4,noss,0,100,0.5
-4,0.0,c-4,noss,0,100,0.75
-4,0.0,c-4,noss,0,100,0.75
-4,0.0,c-4,noss,0,100,0.75
-4,0.0,c-4,noss,0,100,0.75
-4,0.0,c-4,noss,0,100,0.75
-4,0.0,c-4,noss,0,100,0.75
-4,0.0,c-4,noss,0,100,0.75
-4,0.0,c-4,noss,0,100,0.75
-4,0.0,c-4,noss,0,100,0.75
-4,0.0,c-4,noss,0,100,0.75
-4,0.0,c-4,noss,0,100,1.0
-4,0.0,c-4,noss,0,100,1.0
-4,0.0,c-4,noss,0,100,1.0
-4,0.0,c-4,noss,0,100,1.0
-4,0.0,c-4,noss,0,100,1.0
-4,0.0,c-4,noss,0,100,1.0
-4,0.0,c-4,noss,0,100,1.0
-4,0.0,c-4,noss,0,100,1.0
-4,0.0,c-4,noss,0,100,1.0
-4,0.0,c-4,noss,0,100,1.25
-4,0.0,c-4,noss,0,100,1.25
-4,0.0,c-4,noss,0,100,1.25
-4,0.0,c-4,noss,0,100,1.25
-4,0.0,c-4,noss,0,100,1.25
-4,0.0,c-4,noss,0,100,1.25
-4,0.0,c-4,noss,0,100,1.25
-4,0.0,c-4,noss,0,100,1.25
-4,0.0,c-4,noss,0,100,1.25
-2,0.0,c-2,noss,0,100,0.5
-2,0.0,c-2,noss,0,100,0.5
-2,0.0,c-2,noss,0,100,0.5
-2,0.0,c-2,noss,0,100,0.5
-2,0.0,c-2,noss,0,100,0.5
-2,0.0,c-2,noss,0,100,0.5
-2,0.0,c-2,noss,0,100,0.5
-2,0.0,c-2,noss,0,100,0.5
-2,0.0,c-2,noss,0,100,0.5
-2,0.0,c-2,noss,0,100,0.5
-2,0.0,c-2,noss,0,100,0.75
-2,0.0,c-2,noss,0,100,0.75
-2,0.0,c-2,noss,0,100,0.75
-2,0.0,c-2,noss,0,100,0.75
-2,0.0,c-2,noss,0,100,0.75
-2,0.0,c-2,noss,0,100,0.75
-2,0.0,c-2,noss,0,100,0.75
-2,0.0,c-2,noss,0,100,0.75
-2,0.0,c-2,noss,0,100,0.75
-2,0.0,c-2,noss,0,100,0.75
-2,0.0,c-2,noss,0,100,1.0
-2,0.0,c-2,noss,0,100,1.0
-2,0.0,c-2,noss,0,100,1.0
-2,0.0,c-2,noss,0,100,1.0
-2,0.0,c-2,noss,0,100,1.0
-2,0.0,c-2,noss,0,100,1.0
-2,0.0,c-2,noss,0,100,1.0
-2,0.0,c-2,noss,0,100,1.0
-2,0.0,c-2,noss,0,100,1.0
-2,0.0,c-2,noss,0,100,1.25
-2,0.0,c-2,noss,0,100,1.25
-2,0.0,c-2,noss,0,100,1.25
