trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,surround.started,center.started,resp.started,text.started,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,5,20.0,6.31869241700042,,6.308819124940783,6.31869241700042,6.31869241700042,6.31869241700042,6.31869241700042,6.43791058298666,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
11,5,20.0,6.442065582959913,,6.439021207974292,6.442065582959913,6.442065582959913,6.442065582959913,6.442065582959913,6.557959249941632,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
12,5,20.0,6.5687507500406355,,6.559044957975857,6.5687507500406355,6.5687507500406355,6.5687507500406355,6.5687507500406355,6.757718208013102,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
13,5,20.0,6.768898500013165,,6.758794417022727,6.768898500013165,6.768898500013165,6.768898500013165,6.768898500013165,7.05502962495666,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
14,5,20.0,7.059244666947052,,7.056193292024545,7.059244666947052,7.059244666947052,7.059244666947052,7.059244666947052,7.338341417023912,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
15,5,20.0,7.3426258330000564,,7.339661333011463,7.3426258330000564,7.3426258330000564,7.3426258330000564,7.3426258330000564,7.774849417037331,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
16,5,20.0,7.785950666991994,,7.775923458044417,7.785950666991994,7.785950666991994,7.785950666991994,7.785950666991994,8.141998291946948,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
17,5,20.0,8.152822457952425,,8.143173457938246,8.152822457952425,8.152822457952425,8.152822457952425,8.152822457952425,8.505507666966878,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
18,5,20.0,8.509717916953377,,8.506692541996017,8.509717916953377,8.509717916953377,8.509717916953377,8.509717916953377,8.99225158302579,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
19,5,20.0,9.0031702920096,,8.993464082945138,9.0031702920096,9.0031702920096,9.0031702920096,9.0031702920096,9.308660208014771,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
20,5,20.0,9.31996612495277,,9.309711958048865,9.31996612495277,9.31996612495277,9.31996612495277,9.31996612495277,9.672688749968074,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
21,5,20.0,9.676618332974613,,9.673829874955118,9.676618332974613,9.676618332974613,9.676618332974613,9.676618332974613,10.09353120799642,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
22,5,20.0,10.103688125032932,,10.094731791992672,10.103688125032932,10.103688125032932,10.103688125032932,10.103688125032932,10.356510167010128,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
,,,10.361978749977425,,10.357684375019744,10.361978749977425,10.361978749977425,10.361978749977425,10.361978749977425,,,,,,,,,
