thisRow.t,notes,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,trial.started,resp.started,text_2.started,surround.started,center.started,surround.stopped,center.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15.20726600009948,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,6,10,up,5,5,15.197289417032152,15.20726600009948,15.20726600009948,15.69442366703879,15.69442366703879,15.790686500025913,15.790686500025913,15.794998583034612,15.69442366703879,16.579952292027883,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
16.59110583306756,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,6,11,up,2,2,16.580090542091057,16.59110583306756,16.59110583306756,17.078271542093717,17.078271542093717,17.174683542107232,17.174683542107232,17.177991083008237,17.078271542093717,18.094609625055455,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
18.097389000002295,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,7,12,down,1,1,18.094770958065055,18.097389000002295,18.097389000002295,18.59196916699875,18.59196916699875,18.678429958061315,18.678429958061315,18.69203987508081,18.595508958096616,19.499726750073023,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
19.50905487500131,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,7,13,down,2,3,19.499867417034693,19.50905487500131,19.50905487500131,19.996189917088486,19.996189917088486,20.092692083097063,20.092692083097063,20.09600737504661,19.996189917088486,20.665380167076364,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
20.676262792083435,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,8,14,down,1,0,20.665532708051614,20.676262792083435,20.676262792083435,21.1633870000951,21.1633870000951,21.259813542012125,21.259813542012125,21.262996458099224,21.1633870000951,22.046185167040676,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
22.048786458093673,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,8,15,down,2,1,22.046347000054084,22.048786458093673,22.048786458093673,22.543736583087593,22.543736583087593,22.630286167026497,22.630286167026497,22.64383408310823,22.547440583002754,24.33071908308193,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
24.33341854205355,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,9,16,up,0.5,0.5,24.33088108303491,24.33341854205355,24.33341854205355,24.82813312509097,24.82813312509097,24.928181208088063,24.928181208088063,24.928181208088063,24.831441708025523,26.13193062506616,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
26.134873958071694,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,9,17,down,2,-1,26.132095458102413,26.134873958071694,26.134873958071694,26.628929167054594,26.628929167054594,26.71547133300919,26.71547133300919,26.728992792079225,26.632251958013512,27.465493958094157,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
27.46821341710165,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,10,18,up,1,0,27.465659958077595,27.46821341710165,27.46821341710165,27.962755667045712,27.962755667045712,28.049534999998286,28.049534999998286,28.062918542069383,27.96605404210277,28.93294766708277,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
28.935841000056826,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,10,19,down,0.25,0.25,28.933113708044402,28.935841000056826,28.935841000056826,29.430216125096194,29.430216125096194,29.51674420805648,29.51674420805648,29.53024187509436,29.43372550001368,31.25049637502525,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
31.253450707998127,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,11,20,up,1,1,31.250680083059706,31.253450707998127,31.253450707998127,31.74790620803833,31.74790620803833,31.834529958083294,31.834529958083294,31.847969417111017,31.751161833060905,32.36774045811035,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
32.370416500023566,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,11,21,down,0.25,0.0,32.3679115830455,32.370416500023566,32.370416500023566,32.865095957997255,32.865095957997255,32.951859583030455,32.951859583030455,32.965103917056695,32.86845800001174,33.63806545804255,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
33.64875350007787,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,12,22,down,0.5,0.5,33.63822425005492,33.64875350007787,33.64875350007787,34.13589850009885,34.13589850009885,34.232365083065815,34.232365083065815,34.23585800000001,34.13589850009885,34.93577062501572,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
34.9385169580346,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,12,23,down,0.25,-0.25,34.935932375025004,34.9385169580346,34.9385169580346,35.43286529206671,35.43286529206671,35.51933087501675,35.51933087501675,35.532966375001706,35.43608050001785,36.235850917059,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
36.23852200002875,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,13,24,up,0.25,0.75,36.236017167102545,36.23852200002875,36.23852200002875,36.73348775005434,36.73348775005434,36.820253375102766,36.820253375102766,36.83351637504529,36.73696704208851,38.28708191704936,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
38.28984125005081,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,13,25,up,0.1,-0.15,38.28724841703661,38.28984125005081,38.28984125005081,38.7844290001085,38.7844290001085,38.87121916702017,38.87121916702017,38.88444516703021,38.7882859170204,42.13887708308175,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
42.14163237507455,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,14,26,down,0.1,0.65,42.139050667057745,42.14163237507455,42.14163237507455,42.63629437505733,42.63629437505733,42.72286675008945,42.72286675008945,42.73617958300747,42.63972879201174,44.156295958091505,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
44.15894800005481,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,14,27,down,0.1,-0.25,44.15645420807414,44.15894800005481,44.15894800005481,44.65375400008634,44.65375400008634,44.7405178330373,44.7405178330373,44.75377616705373,44.65748045803048,45.27655654202681,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
45.28741062502377,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,15,28,up,0.1,0.75,45.27671554207336,45.28741062502377,45.28741062502377,45.77465987508185,45.77465987508185,45.87095350003801,45.87095350003801,45.874281000113115,45.77465987508185,46.457060000044294,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
