center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,text_4.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
3,15,,6,6,0,,,,,,,,,,p1,poss,100,left,1.3150333749363199,None,,,,,,,,,0,6,6,43,47.34162066702265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.33493174996693,47.34162066702265,47.83086279197596,47.83086279197596,47.90463558398187,47.90463558398187,47.90463558398187,48.665780917042866,left,1.3150333749363199,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
-1,-15,,7,7,0,,,,,,,,,,p1,negs,100,right,1.0831305000465363,None,,,,,,,,,0,7,7,8,48.671483500045724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.66668958,48.671483500045724,49.164831749978475,49.164831749978475,49.23549412493594,49.23549412493594,49.23549412493594,49.75700624997262,right,1.0831305000465363,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
0,0,,8,8,0,,,,,,,,,,m2,noss,0,left,1.021564875,None,,,,,,,,,0,8,8,22,49.765419916948304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.758048166986555,49.765419916948304,50.25538821,50.25538821,50.33250191702973,50.33250191702973,50.33250191702973,50.789835041970946,left,1.021564875,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
-2,-15,,9,9,0,,,,,,,,,,PSE,negs,100,right,1.0857499999692664,None,,,,,,,,,0,9,9,45,50.798054500017315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.79097508394625,50.798054500017315,51.288471375009976,51.288471375009976,51.36585120903328,51.36585120903328,51.36585120903328,51.886383041972294,right,1.0857499999692664,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
4,15,,10,10,0,,,,,,,,,,p2,poss,100,right,1.0953612920129672,None,,,,,,,,,0,10,10,44,51.89856699993834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.88719520904124,51.89856699993834,52.38106208399404,52.38106208399404,52.46530920895748,52.45468379196245,52.45468379196245,53.00104941695463,right,1.0953612920129672,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
0,15,,11,11,0,,,,,,,,,,m2,poss,100,left,1.0348129590274766,None,,,,,,,,,0,11,11,12,53.00960466696415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.002655958989635,53.00960466696415,53.49740395904519,53.49740395904519,53.571338542038575,53.571338542038575,53.571338542038575,54.050721667008474,left,1.0348129590274766,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
0,0,,12,12,0,,,,,,,,,,p2,noss,0,left,1.1131029169773683,None,,,,,,,,,0,12,12,29,54.05930854193866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.052170749986544,54.05930854193866,54.54748983401805,54.54748983401805,54.62182070896961,54.62182070896961,54.62182070896961,55.18362675001845,left,1.1131029169773683,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
0,-15,,13,13,0,,,,,,,,,,p2,negs,100,right,1.0681433751014993,None,,,,,,,,,0,13,13,39,55.191379124997184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.18469487503171,55.191379124997184,55.68137474998366,55.68137474998366,55.75558050000109,55.75558050000109,55.75558050000109,56.266295542009175,right,1.0681433751014993,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
0,15,,14,14,0,,,,,,,,,,m2,poss,100,left,0.993328083,None,,,,,,,,,0,14,14,32,56.27339804195799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.26727687497623,56.27339804195799,56.76421687495895,56.76421687495895,56.83625549997669,56.83625549997669,56.83625549997669,57.26986925001256,left,0.993328083,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
-4,0,,15,15,0,,,,,,,,,,m2,noss,0,left,0.9436454169917852,None,,,,,,,,,0,15,15,27,57.28176317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.270841166959144,57.28176317,57.76423645904288,57.76423645904288,57.84764116699807,57.83462450001389,57.83462450001389,58.23338283400517,left,0.9436454169917852,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
